year,sex,marital_status,age,outside_labour_force
2003,male,single,20-24,32700
2003,male,single,25-29,6300
2003,male,single,30-34,1600
2003,male,single,35-39,2100
2003,male,single,40-44,2900
2003,male,single,45-49,2800
2003,male,single,50-54,2000
2003,male,single,55-59,1900
2003,male,single,60-64,1500
2003,male,single,65-69,1800
2003,male,single,70_and_over,2400
2003,male,married,15-19,200
2003,male,married,20-24,300
2003,male,married,25-29,500
2003,male,married,30-34,300
2003,male,married,35-39,700
2003,male,married,40-44,1500
2003,male,married,45-49,2700
2003,male,married,50-54,7400
2003,male,married,55-59,15400
2003,male,married,60-64,27600
2003,male,married,65-69,28400
2003,male,married,70_and_over,49200
2003,male,widowed_divorced,15-19,-
2003,male,widowed_divorced,20-24,-
2003,male,widowed_divorced,25-29,-
2003,male,widowed_divorced,30-34,-
2003,male,widowed_divorced,35-39,-
2003,male,widowed_divorced,40-44,-
2003,male,widowed_divorced,45-49,500
2003,male,widowed_divorced,50-54,500
2003,male,widowed_divorced,55-59,900
2003,male,widowed_divorced,60-64,2600
2003,male,widowed_divorced,65-69,2900
2003,male,widowed_divorced,70_and_over,14800
2003,female,single,15-19,94800
2003,female,single,20-24,29600
2003,female,single,25-29,3400
2003,female,single,30-34,1600
2003,female,single,35-39,1700
2003,female,single,40-44,2400
2003,female,single,45-49,2800
2003,female,single,50-54,3500
2003,female,single,55-59,3100
2003,female,single,60-64,2300
2003,female,single,65-69,2600
2003,female,single,70_and_over,2600
2003,female,married,15-19,400
2003,female,married,20-24,4100
2003,female,married,25-29,16600
2003,female,married,30-34,37300
2003,female,married,35-39,51400
2003,female,married,40-44,54800
2003,female,married,45-49,55300
2003,female,married,50-54,48000
2003,female,married,55-59,42500
2003,female,married,60-64,37700
2003,female,married,65-69,28500
2003,female,married,70_and_over,27200
2003,female,widowed_divorced,15-19,-
2003,female,widowed_divorced,20-24,100
2003,female,widowed_divorced,25-29,300
2003,female,widowed_divorced,30-34,100
2003,female,widowed_divorced,35-39,800
2003,female,widowed_divorced,40-44,1100
2003,female,widowed_divorced,45-49,1900
2003,female,widowed_divorced,50-54,4100
2003,female,widowed_divorced,55-59,8700
2003,female,widowed_divorced,60-64,15400
2003,female,widowed_divorced,65-69,19700
2003,female,widowed_divorced,70_and_over,68600
2004,male,single,15-19,106100
2004,male,single,20-24,34000
2004,male,single,25-29,8400
2004,male,single,30-34,1900
2004,male,single,40-44,2700
2004,male,single,45-49,2300
2004,male,single,50-54,2000
2004,male,single,55-59,2100
2004,male,single,60-64,2000
2004,male,single,65-69,1700
2004,male,single,70_and_over,2800
2004,male,married,15-19,100
2004,male,married,20-24,200
2004,male,married,25-29,400
2004,male,married,30-34,700
2004,male,married,35-39,1200
2004,male,married,40-44,1500
2004,male,married,45-49,2700
2004,male,married,50-54,6200
2004,male,married,55-59,17600
2004,male,married,60-64,26000
2004,male,married,65-69,30400
2004,male,married,70_and_over,50500
2004,male,widowed_divorced,15-19,-
2004,male,widowed_divorced,20-24,-
2004,male,widowed_divorced,25-29,-
2004,male,widowed_divorced,30-34,100
2004,male,widowed_divorced,35-39,100
2004,male,widowed_divorced,40-44,200
2004,male,widowed_divorced,45-49,300
2004,male,widowed_divorced,50-54,500
2004,male,widowed_divorced,55-59,1000
2004,male,widowed_divorced,60-64,1900
2004,male,widowed_divorced,65-69,3100
2004,male,widowed_divorced,70_and_over,13200
2004,female,single,15-19,100800
2004,female,single,20-24,31900
2004,female,single,25-29,3200
2004,female,single,30-34,2700
2004,female,single,35-39,1600
2004,female,single,40-44,2400
2004,female,single,45-49,2200
2004,female,single,50-54,2700
2004,female,single,55-59,3400
2004,female,single,60-64,2400
2004,female,single,65-69,2000
2004,female,single,70_and_over,3000
2004,female,married,15-19,200
2004,female,married,20-24,3900
2004,female,married,25-29,16700
2004,female,married,30-34,35200
2004,female,married,35-39,47200
2004,female,married,40-44,53900
2004,female,married,45-49,52300
2004,female,married,50-54,51000
2004,female,married,55-59,45700
2004,female,married,60-64,36900
2004,female,married,65-69,29000
2004,female,married,70_and_over,28400
2004,female,widowed_divorced,15-19,-
2004,female,widowed_divorced,20-24,100
2004,female,widowed_divorced,25-29,200
2004,female,widowed_divorced,30-34,100
2004,female,widowed_divorced,35-39,500
2004,female,widowed_divorced,40-44,1500
2004,female,widowed_divorced,45-49,3100
2004,female,widowed_divorced,50-54,4300
2004,female,widowed_divorced,55-59,8000
2004,female,widowed_divorced,60-64,13900
2004,female,widowed_divorced,65-69,20100
2004,female,widowed_divorced,70_and_over,70200
2006,male,single,15-19,119400
2006,male,single,20-24,32000
2006,male,single,25-29,6400
2006,male,single,30-34,1900
2006,male,single,35-39,1600
2006,male,single,40-44,2700
2006,male,single,45-49,2800
2006,male,single,50-54,2800
2006,male,single,55-59,2800
2006,male,single,60-64,1600
2006,male,single,65-69,2200
